candidate_x,candidate_y,count
John Hickenlooper,Julián Castro,1018
Cory Booker,John Hickenlooper,1007
Joe Biden,John Hickenlooper,1005
Joe Biden,Tim Ryan,998
Bernie Sanders,Tim Ryan,974
Julián Castro,Tim Ryan,910
Eric Swalwell,Seth Moulton,910
Jay Inslee,Tim Ryan,902
Cory Booker,Tim Ryan,866
Eric Swalwell,Steve Bullock,861
Julián Castro,Mike Gravel,844
John Hickenlooper,Kirsten Gillibrand,791
Amy Klobuchar,Tim Ryan,767
Joe Biden,Tulsi Gabbard,745
Seth Moulton,Steve Bullock,738
Amy Klobuchar,John Delaney,714
Beto O'Rourke,Tim Ryan,702
Beto O'Rourke,John Hickenlooper,675
Elizabeth Warren,John Delaney,653
Marianne Williamson,Michael Bennet,649
Marianne Williamson,Tim Ryan,648
Michael Bennet,Tim Ryan,631
Bernie Sanders,John Hickenlooper,615
Kirsten Gillibrand,Mike Gravel,610
John Delaney,Julián Castro,606
Kirsten Gillibrand,Tim Ryan,588
Joe Biden,John Delaney,585
John Delaney,Kamala Harris,585
Jay Inslee,John Delaney,584
Andrew Yang,Michael Bennet,568
John Hickenlooper,Steve Bullock,558
Andrew Yang,Eric Swalwell,549
Eric Swalwell,Marianne Williamson,539
Kamala Harris,Mike Gravel,528
Cory Booker,John Delaney,519
Steve Bullock,Tim Ryan,474
Bill de Blasio,Elizabeth Warren,467
John Delaney,Kirsten Gillibrand,455
Eric Swalwell,Tim Ryan,448
Beto O'Rourke,John Delaney,409
Seth Moulton,Tim Ryan,407
Eric Swalwell,John Hickenlooper,396
Michael Bennet,Tulsi Gabbard,388
Bernie Sanders,Bill de Blasio,386
Andrew Yang,Steve Bullock,382
John Hickenlooper,Seth Moulton,382
John Delaney,Michael Bennet,378
Cory Booker,Mike Gravel,375
Andrew Yang,Seth Moulton,373
Bill de Blasio,Kamala Harris,370
Steve Bullock,Tulsi Gabbard,369
Eric Swalwell,Tulsi Gabbard,368
Andrew Yang,John Hickenlooper,358
Bernie Sanders,John Delaney,358
Beto O'Rourke,Mike Gravel,356
Marianne Williamson,Steve Bullock,350
Marianne Williamson,Seth Moulton,349
Andrew Yang,Tim Ryan,337
Bill de Blasio,Pete Buttigieg,332
Andrew Yang,John Delaney,324
Tim Ryan,Tulsi Gabbard,323
John Delaney,John Hickenlooper,320
John Delaney,Steve Bullock,318
John Hickenlooper,Tulsi Gabbard,301
Bill de Blasio,Julián Castro,299
Bill de Blasio,Cory Booker,292
Seth Moulton,Tulsi Gabbard,286
John Hickenlooper,Tim Ryan,283
Elizabeth Warren,Wayne Messam,275
John Delaney,Tulsi Gabbard,271
Eric Swalwell,John Delaney,266
John Hickenlooper,Marianne Williamson,248
John Delaney,Tim Ryan,243
Amy Klobuchar,Mike Gravel,235
Bill de Blasio,Jay Inslee,232
Bill de Blasio,Kirsten Gillibrand,228
Bernie Sanders,Wayne Messam,219
John Delaney,Seth Moulton,219
John Delaney,Marianne Williamson,217
Julián Castro,Wayne Messam,201
Bill de Blasio,Joe Biden,199
Pete Buttigieg,Wayne Messam,190
Kamala Harris,Wayne Messam,190
Mike Gravel,Steve Bullock,178
Beto O'Rourke,Bill de Blasio,177
Eric Swalwell,Mike Gravel,176
Mike Gravel,Seth Moulton,171
Jay Inslee,Wayne Messam,169
Michael Bennet,Mike Gravel,168
Cory Booker,Wayne Messam,164
Amy Klobuchar,Bill de Blasio,164
Joe Biden,Mike Gravel,156
Bill de Blasio,Tulsi Gabbard,152
Andrew Yang,Bill de Blasio,150
Kirsten Gillibrand,Wayne Messam,138
Andrew Yang,Wayne Messam,128
Tulsi Gabbard,Wayne Messam,126
Marianne Williamson,Wayne Messam,121
Amy Klobuchar,Wayne Messam,114
Mike Gravel,Tim Ryan,112
Bill de Blasio,Michael Bennet,108
Mike Gravel,Wayne Messam,107
Bill de Blasio,Marianne Williamson,102
Beto O'Rourke,Wayne Messam,101
Bill de Blasio,Steve Bullock,98
Bill de Blasio,Eric Swalwell,97
John Delaney,Mike Gravel,91
Joe Biden,Wayne Messam,91
Eric Swalwell,Wayne Messam,88
John Hickenlooper,Mike Gravel,87
Bill de Blasio,Tim Ryan,87
Bill de Blasio,John Hickenlooper,72
Bill de Blasio,Mike Gravel,70
Seth Moulton,Wayne Messam,70
Steve Bullock,Wayne Messam,70
John Delaney,Wayne Messam,69
Michael Bennet,Wayne Messam,68
Tim Ryan,Wayne Messam,68
John Hickenlooper,Wayne Messam,67
Bill de Blasio,Seth Moulton,62
Bill de Blasio,John Delaney,49
Bill de Blasio,Wayne Messam,26
