candidate_x,candidate_y,candidate_z,count
Amy Klobuchar,Beto O'Rourke,Elizabeth Warren,2216
Elizabeth Warren,Eric Swalwell,Julián Castro,2164
Joe Biden,Kamala Harris,Kirsten Gillibrand,2146
Bernie Sanders,Cory Booker,Julián Castro,2141
Amy Klobuchar,Jay Inslee,Pete Buttigieg,2134
Beto O'Rourke,Elizabeth Warren,Jay Inslee,2127
Bernie Sanders,Joe Biden,Kamala Harris,2125
Bernie Sanders,Cory Booker,Pete Buttigieg,2124
Beto O'Rourke,Kamala Harris,Kirsten Gillibrand,2118
Beto O'Rourke,Elizabeth Warren,Kirsten Gillibrand,2107
Bernie Sanders,Marianne Williamson,Tulsi Gabbard,2105
Amy Klobuchar,Joe Biden,Julián Castro,2091
Bernie Sanders,Jay Inslee,Kamala Harris,2082
Elizabeth Warren,Joe Biden,Kirsten Gillibrand,2080
Amy Klobuchar,Cory Booker,Jay Inslee,2040
Eric Swalwell,Julián Castro,Kamala Harris,2022
Elizabeth Warren,Michael Bennet,Pete Buttigieg,2021
Cory Booker,Jay Inslee,Kirsten Gillibrand,2008
Amy Klobuchar,Cory Booker,Joe Biden,2000
Kamala Harris,Michael Bennet,Pete Buttigieg,1985
Elizabeth Warren,Julián Castro,Michael Bennet,1973
Eric Swalwell,Julián Castro,Pete Buttigieg,1958
Bernie Sanders,Kamala Harris,Kirsten Gillibrand,1933
Beto O'Rourke,Cory Booker,Joe Biden,1931
Bernie Sanders,Jay Inslee,Pete Buttigieg,1929
Elizabeth Warren,Jay Inslee,Joe Biden,1898
Beto O'Rourke,Jay Inslee,Pete Buttigieg,1832
Beto O'Rourke,Kirsten Gillibrand,Pete Buttigieg,1815
Cory Booker,Julián Castro,Michael Bennet,1813
Jay Inslee,Joe Biden,Kamala Harris,1810
Andrew Yang,Bernie Sanders,Mike Gravel,1808
Julián Castro,Kamala Harris,Michael Bennet,1805
Beto O'Rourke,Jay Inslee,Kamala Harris,1804
Jay Inslee,Kirsten Gillibrand,Pete Buttigieg,1799
Cory Booker,Eric Swalwell,Julián Castro,1792
Bernie Sanders,Jay Inslee,Julián Castro,1788
Julián Castro,Michael Bennet,Pete Buttigieg,1775
Cory Booker,Elizabeth Warren,Eric Swalwell,1768
Amy Klobuchar,Beto O'Rourke,Julián Castro,1759
Cory Booker,Eric Swalwell,Kamala Harris,1742
Cory Booker,Elizabeth Warren,Michael Bennet,1701
Cory Booker,Kamala Harris,Michael Bennet,1676
Amy Klobuchar,Bernie Sanders,Kamala Harris,1663
Amy Klobuchar,Beto O'Rourke,Joe Biden,1659
Amy Klobuchar,Jay Inslee,Kirsten Gillibrand,1649
Andrew Yang,Bernie Sanders,Pete Buttigieg,1648
Bernie Sanders,Joe Biden,Pete Buttigieg,1628
Cory Booker,Joe Biden,Kirsten Gillibrand,1579
Elizabeth Warren,Kamala Harris,Marianne Williamson,1577
Amy Klobuchar,Beto O'Rourke,Cory Booker,1562
Amy Klobuchar,Michael Bennet,Pete Buttigieg,1554
Jay Inslee,Joe Biden,Pete Buttigieg,1531
Elizabeth Warren,Jay Inslee,Michael Bennet,1529
Amy Klobuchar,Elizabeth Warren,Michael Bennet,1528
Andrew Yang,Elizabeth Warren,Kamala Harris,1521
Joe Biden,Kirsten Gillibrand,Pete Buttigieg,1520
Bernie Sanders,Marianne Williamson,Mike Gravel,1519
Amy Klobuchar,Kamala Harris,Michael Bennet,1513
Amy Klobuchar,Julián Castro,Michael Bennet,1508
Jay Inslee,Julián Castro,Michael Bennet,1502
Joe Biden,Julián Castro,Kirsten Gillibrand,1482
Cory Booker,Michael Bennet,Pete Buttigieg,1482
Bernie Sanders,Pete Buttigieg,Tulsi Gabbard,1481
Andrew Yang,Mike Gravel,Tulsi Gabbard,1478
Amy Klobuchar,Cory Booker,Michael Bennet,1474
Cory Booker,Eric Swalwell,Pete Buttigieg,1465
Beto O'Rourke,Julián Castro,Kirsten Gillibrand,1452
Eric Swalwell,Joe Biden,Kamala Harris,1446
Bernie Sanders,Cory Booker,Kirsten Gillibrand,1445
Bernie Sanders,Cory Booker,Jay Inslee,1442
Jay Inslee,Joe Biden,Julián Castro,1432
Bernie Sanders,Kirsten Gillibrand,Pete Buttigieg,1420
Joe Biden,Michael Bennet,Pete Buttigieg,1419
Bernie Sanders,Beto O'Rourke,Julián Castro,1414
Beto O'Rourke,Cory Booker,Kirsten Gillibrand,1394
Bernie Sanders,Beto O'Rourke,Joe Biden,1391
Andrew Yang,Kamala Harris,Pete Buttigieg,1387
Joe Biden,Kamala Harris,Michael Bennet,1373
Beto O'Rourke,Jay Inslee,Julián Castro,1371
Eric Swalwell,Joe Biden,Pete Buttigieg,1368
Bernie Sanders,Julián Castro,Kirsten Gillibrand,1356
Elizabeth Warren,Eric Swalwell,Joe Biden,1345
Amy Klobuchar,Eric Swalwell,Kamala Harris,1345
Amy Klobuchar,Elizabeth Warren,Eric Swalwell,1339
Amy Klobuchar,Eric Swalwell,Julián Castro,1337
Amy Klobuchar,Bernie Sanders,Pete Buttigieg,1337
Amy Klobuchar,Joe Biden,Kirsten Gillibrand,1330
Bernie Sanders,Beto O'Rourke,Cory Booker,1326
Cory Booker,Jay Inslee,Joe Biden,1309
Bernie Sanders,Jay Inslee,Kirsten Gillibrand,1308
Elizabeth Warren,Eric Swalwell,Jay Inslee,1306
Beto O'Rourke,Eric Swalwell,Pete Buttigieg,1293
Elizabeth Warren,Marianne Williamson,Pete Buttigieg,1281
Elizabeth Warren,Joe Biden,Michael Bennet,1273
Elizabeth Warren,Eric Swalwell,Kirsten Gillibrand,1271
Cory Booker,Jay Inslee,Michael Bennet,1269
Elizabeth Warren,Kirsten Gillibrand,Michael Bennet,1263
Elizabeth Warren,Kamala Harris,Tulsi Gabbard,1259
Beto O'Rourke,Cory Booker,Jay Inslee,1250
Eric Swalwell,Jay Inslee,Julián Castro,1245
Amy Klobuchar,Jay Inslee,Joe Biden,1240
Bernie Sanders,Cory Booker,Joe Biden,1236
Cory Booker,Kirsten Gillibrand,Michael Bennet,1234
Bernie Sanders,Jay Inslee,Tulsi Gabbard,1233
Joe Biden,Julián Castro,Michael Bennet,1225
Elizabeth Warren,Pete Buttigieg,Tulsi Gabbard,1221
Beto O'Rourke,Eric Swalwell,Kamala Harris,1220
Eric Swalwell,Joe Biden,Julián Castro,1215
Amy Klobuchar,Eric Swalwell,Pete Buttigieg,1207
Jay Inslee,Kamala Harris,Michael Bennet,1206
Jay Inslee,Michael Bennet,Pete Buttigieg,1205
Amy Klobuchar,Cory Booker,Eric Swalwell,1203
Julián Castro,Kirsten Gillibrand,Michael Bennet,1187
Beto O'Rourke,Elizabeth Warren,Eric Swalwell,1183
Amy Klobuchar,Bernie Sanders,Cory Booker,1179
Elizabeth Warren,Kamala Harris,Steve Bullock,1166
Andrew Yang,Elizabeth Warren,Julián Castro,1160
Marianne Williamson,Mike Gravel,Tulsi Gabbard,1149
Eric Swalwell,Julián Castro,Kirsten Gillibrand,1145
Amy Klobuchar,Joe Biden,Michael Bennet,1145
Amy Klobuchar,Jay Inslee,Michael Bennet,1133
Amy Klobuchar,Beto O'Rourke,Kirsten Gillibrand,1125
Amy Klobuchar,Bernie Sanders,Julián Castro,1123
Beto O'Rourke,Michael Bennet,Pete Buttigieg,1120
Cory Booker,Eric Swalwell,Joe Biden,1105
Kamala Harris,Kirsten Gillibrand,Michael Bennet,1100
Cory Booker,Joe Biden,Michael Bennet,1097
Eric Swalwell,Kamala Harris,Kirsten Gillibrand,1084
Andrew Yang,Elizabeth Warren,Jay Inslee,1074
Elizabeth Warren,Mike Gravel,Tulsi Gabbard,1073
Elizabeth Warren,Julián Castro,Marianne Williamson,1068
Cory Booker,Eric Swalwell,Jay Inslee,1063
Bernie Sanders,Beto O'Rourke,Jay Inslee,1062
Bernie Sanders,Joe Biden,Julián Castro,1061
Elizabeth Warren,Pete Buttigieg,Steve Bullock,1061
Kamala Harris,Pete Buttigieg,Steve Bullock,1061
Beto O'Rourke,Eric Swalwell,Julián Castro,1052
Eric Swalwell,Jay Inslee,Kamala Harris,1050
Eric Swalwell,Julián Castro,Michael Bennet,1043
Beto O'Rourke,Joe Biden,Kirsten Gillibrand,1041
Cory Booker,Eric Swalwell,Kirsten Gillibrand,1039
Amy Klobuchar,Kirsten Gillibrand,Michael Bennet,1038
Beto O'Rourke,Elizabeth Warren,Michael Bennet,1030
Beto O'Rourke,Jay Inslee,Joe Biden,1030
Bernie Sanders,Elizabeth Warren,Michael Bennet,1028
Elizabeth Warren,Jay Inslee,Marianne Williamson,1025
Elizabeth Warren,Kirsten Gillibrand,Marianne Williamson,1017
Beto O'Rourke,Kamala Harris,Michael Bennet,1016
Eric Swalwell,Jay Inslee,Pete Buttigieg,1014
Andrew Yang,Bernie Sanders,Marianne Williamson,1009
Andrew Yang,Julián Castro,Pete Buttigieg,1009
Andrew Yang,Elizabeth Warren,Tulsi Gabbard,1006
Amy Klobuchar,Beto O'Rourke,Jay Inslee,1003
Kamala Harris,Marianne Williamson,Pete Buttigieg,1000
Bernie Sanders,Jay Inslee,Marianne Williamson,955
Bernie Sanders,Jay Inslee,Mike Gravel,946
Elizabeth Warren,Eric Swalwell,Michael Bennet,946
Elizabeth Warren,Julián Castro,Steve Bullock,945
Jay Inslee,Kirsten Gillibrand,Michael Bennet,944
Amy Klobuchar,Bernie Sanders,Kirsten Gillibrand,941
Beto O'Rourke,Julián Castro,Michael Bennet,933
Bernie Sanders,Kamala Harris,Tulsi Gabbard,929
Elizabeth Warren,Jay Inslee,Steve Bullock,926
Cory Booker,Eric Swalwell,Michael Bennet,924
Elizabeth Warren,Jay Inslee,Tulsi Gabbard,913
Bernie Sanders,Marianne Williamson,Pete Buttigieg,913
Beto O'Rourke,Eric Swalwell,Joe Biden,912
Andrew Yang,Marianne Williamson,Tulsi Gabbard,907
Eric Swalwell,Kirsten Gillibrand,Pete Buttigieg,907
Amy Klobuchar,Bernie Sanders,Jay Inslee,900
Andrew Yang,Cory Booker,Elizabeth Warren,896
Cory Booker,Elizabeth Warren,Marianne Williamson,894
Andrew Yang,Jay Inslee,Pete Buttigieg,894
Andrew Yang,Julián Castro,Kamala Harris,891
Bernie Sanders,Elizabeth Warren,Eric Swalwell,887
Julián Castro,Pete Buttigieg,Steve Bullock,887
Beto O'Rourke,Jay Inslee,Kirsten Gillibrand,882
Kirsten Gillibrand,Michael Bennet,Pete Buttigieg,880
Bernie Sanders,Beto O'Rourke,Kirsten Gillibrand,877
Eric Swalwell,Michael Bennet,Pete Buttigieg,876
Elizabeth Warren,Pete Buttigieg,Seth Moulton,873
Elizabeth Warren,Kamala Harris,Seth Moulton,871
Jay Inslee,Joe Biden,Kirsten Gillibrand,868
Kamala Harris,Pete Buttigieg,Tulsi Gabbard,865
Bernie Sanders,Mike Gravel,Pete Buttigieg,863
Beto O'Rourke,Joe Biden,Michael Bennet,863
Amy Klobuchar,Eric Swalwell,Jay Inslee,861
Bernie Sanders,Kamala Harris,Marianne Williamson,861
Amy Klobuchar,Eric Swalwell,Joe Biden,858
Jay Inslee,Joe Biden,Michael Bennet,851
Eric Swalwell,Kamala Harris,Michael Bennet,849
Julián Castro,Kamala Harris,Steve Bullock,838
Elizabeth Warren,Mike Gravel,Pete Buttigieg,837
Amy Klobuchar,Pete Buttigieg,Steve Bullock,834
Elizabeth Warren,Julián Castro,Tulsi Gabbard,833
Andrew Yang,Beto O'Rourke,Pete Buttigieg,832
Elizabeth Warren,Kirsten Gillibrand,Tulsi Gabbard,829
Amy Klobuchar,Bernie Sanders,Beto O'Rourke,828
Amy Klobuchar,Eric Swalwell,Kirsten Gillibrand,827
Beto O'Rourke,Cory Booker,Eric Swalwell,825
Amy Klobuchar,Bernie Sanders,Joe Biden,816
Cory Booker,Elizabeth Warren,Steve Bullock,812
Julián Castro,Kamala Harris,Marianne Williamson,801
Andrew Yang,Bernie Sanders,Jay Inslee,798
Cory Booker,Kamala Harris,Steve Bullock,798
Andrew Yang,Cory Booker,Kamala Harris,797
Eric Swalwell,Jay Inslee,Michael Bennet,795
Bernie Sanders,Joe Biden,Kirsten Gillibrand,794
Jay Inslee,Julián Castro,Steve Bullock,793
Andrew Yang,Cory Booker,Pete Buttigieg,789
Andrew Yang,Bernie Sanders,Kamala Harris,787
Beto O'Rourke,Cory Booker,Michael Bennet,783
Cory Booker,Kamala Harris,Marianne Williamson,780
Eric Swalwell,Jay Inslee,Kirsten Gillibrand,778
Bernie Sanders,Jay Inslee,Joe Biden,778
Amy Klobuchar,Elizabeth Warren,Steve Bullock,771
Elizabeth Warren,Marianne Williamson,Tulsi Gabbard,771
Amy Klobuchar,Eric Swalwell,Michael Bennet,768
Cory Booker,Julián Castro,Steve Bullock,767
Andrew Yang,Pete Buttigieg,Tulsi Gabbard,765
Bernie Sanders,Julián Castro,Tulsi Gabbard,764
Kamala Harris,Pete Buttigieg,Seth Moulton,760
Andrew Yang,Elizabeth Warren,Kirsten Gillibrand,753
Kamala Harris,Kirsten Gillibrand,Marianne Williamson,750
Amy Klobuchar,Kamala Harris,Steve Bullock,749
Jay Inslee,Pete Buttigieg,Steve Bullock,747
Joe Biden,Kirsten Gillibrand,Michael Bennet,738
Joe Biden,Pete Buttigieg,Steve Bullock,737
Andrew Yang,Cory Booker,Julián Castro,736
Amy Klobuchar,Beto O'Rourke,Michael Bennet,736
Elizabeth Warren,Julián Castro,Seth Moulton,733
Michael Bennet,Pete Buttigieg,Steve Bullock,729
Cory Booker,Pete Buttigieg,Steve Bullock,726
Amy Klobuchar,Julián Castro,Steve Bullock,723
Eric Swalwell,Joe Biden,Michael Bennet,704
Julián Castro,Marianne Williamson,Pete Buttigieg,702
Beto O'Rourke,Pete Buttigieg,Steve Bullock,700
Bernie Sanders,Elizabeth Warren,Steve Bullock,700
Cory Booker,Elizabeth Warren,Seth Moulton,699
Jay Inslee,Kamala Harris,Steve Bullock,693
Cory Booker,Julián Castro,Seth Moulton,691
Cory Booker,Julián Castro,Marianne Williamson,689
Julián Castro,Michael Bennet,Steve Bullock,676
Kamala Harris,Kirsten Gillibrand,Tulsi Gabbard,673
Amy Klobuchar,Beto O'Rourke,Eric Swalwell,671
Andrew Yang,Beto O'Rourke,Elizabeth Warren,669
Elizabeth Warren,Jay Inslee,Mike Gravel,668
Amy Klobuchar,Jay Inslee,Steve Bullock,666
Amy Klobuchar,Michael Bennet,Steve Bullock,665
Amy Klobuchar,Elizabeth Warren,Marianne Williamson,664
Julián Castro,Pete Buttigieg,Seth Moulton,661
Amy Klobuchar,Elizabeth Warren,Tulsi Gabbard,660
Elizabeth Warren,Michael Bennet,Steve Bullock,659
Bernie Sanders,Kirsten Gillibrand,Marianne Williamson,657
Cory Booker,Elizabeth Warren,Tulsi Gabbard,656
Amy Klobuchar,Cory Booker,Steve Bullock,656
Julián Castro,Kamala Harris,Tulsi Gabbard,656
Bernie Sanders,Julián Castro,Michael Bennet,655
Julián Castro,Pete Buttigieg,Tulsi Gabbard,653
Amy Klobuchar,Kamala Harris,Tulsi Gabbard,651
Bernie Sanders,Kamala Harris,Michael Bennet,650
Andrew Yang,Bernie Sanders,Julián Castro,649
John Hickenlooper,Kamala Harris,Pete Buttigieg,647
Andrew Yang,Elizabeth Warren,Mike Gravel,646
Bernie Sanders,Kirsten Gillibrand,Tulsi Gabbard,644
Joe Biden,Kamala Harris,Steve Bullock,642
Andrew Yang,Jay Inslee,Julián Castro,642
Julián Castro,Kamala Harris,Seth Moulton,641
Elizabeth Warren,John Hickenlooper,Kamala Harris,638
Bernie Sanders,Julián Castro,Marianne Williamson,637
Jay Inslee,Julián Castro,Marianne Williamson,632
Beto O'Rourke,Jay Inslee,Michael Bennet,631
Elizabeth Warren,Jay Inslee,Seth Moulton,631
Eric Swalwell,Kirsten Gillibrand,Michael Bennet,630
Jay Inslee,Michael Bennet,Steve Bullock,629
Cory Booker,Kamala Harris,Tulsi Gabbard,626
Jay Inslee,Julián Castro,Seth Moulton,625
Bernie Sanders,Jay Inslee,Michael Bennet,625
Elizabeth Warren,Kirsten Gillibrand,Steve Bullock,622
Cory Booker,Kamala Harris,Seth Moulton,621
Eric Swalwell,Jay Inslee,Joe Biden,620
Cory Booker,Jay Inslee,Steve Bullock,620
Julián Castro,Kirsten Gillibrand,Marianne Williamson,613
Elizabeth Warren,Joe Biden,Steve Bullock,611
Amy Klobuchar,Andrew Yang,Pete Buttigieg,610
Beto O'Rourke,Kamala Harris,Steve Bullock,609
Eric Swalwell,Joe Biden,Kirsten Gillibrand,608
Bernie Sanders,Eric Swalwell,Kamala Harris,606
Elizabeth Warren,John Hickenlooper,Pete Buttigieg,606
Amy Klobuchar,Andrew Yang,Elizabeth Warren,601
Andrew Yang,Kirsten Gillibrand,Pete Buttigieg,600
Amy Klobuchar,Kamala Harris,Marianne Williamson,592
Kamala Harris,Michael Bennet,Steve Bullock,585
Andrew Yang,Elizabeth Warren,Marianne Williamson,584
Amy Klobuchar,John Hickenlooper,Pete Buttigieg,583
Andrew Yang,Jay Inslee,Kamala Harris,581
Cory Booker,Pete Buttigieg,Seth Moulton,578
Bernie Sanders,Cory Booker,Michael Bennet,577
Bernie Sanders,Elizabeth Warren,Seth Moulton,576
Cory Booker,Marianne Williamson,Pete Buttigieg,575
Bernie Sanders,Michael Bennet,Pete Buttigieg,573
Cory Booker,Kirsten Gillibrand,Marianne Williamson,571
Elizabeth Warren,Kirsten Gillibrand,Seth Moulton,570
Bernie Sanders,Eric Swalwell,Julián Castro,568
Beto O'Rourke,Elizabeth Warren,Steve Bullock,567
Andrew Yang,Kamala Harris,Kirsten Gillibrand,565
Cory Booker,Michael Bennet,Steve Bullock,565
Amy Klobuchar,Joe Biden,Steve Bullock,563
Beto O'Rourke,Elizabeth Warren,Marianne Williamson,557
Cory Booker,Jay Inslee,Seth Moulton,555
Cory Booker,Pete Buttigieg,Tulsi Gabbard,555
Jay Inslee,Kamala Harris,Marianne Williamson,552
Julián Castro,Kirsten Gillibrand,Seth Moulton,552
Beto O'Rourke,Eric Swalwell,Kirsten Gillibrand,545
Kirsten Gillibrand,Marianne Williamson,Pete Buttigieg,545
Jay Inslee,Pete Buttigieg,Seth Moulton,544
Bernie Sanders,Eric Swalwell,Pete Buttigieg,544
Beto O'Rourke,Eric Swalwell,Jay Inslee,543
Jay Inslee,Marianne Williamson,Pete Buttigieg,542
Elizabeth Warren,Kamala Harris,Tim Ryan,541
